Name,Weight
General Mills Inc.,0.103059
ResMed Inc.,0.102388
Xcel Energy Inc.,0.102077
Motorola Solutions Inc.,0.101633
SBA Communications Corp. Class A,0.101499
Microchip Technology Incorporated,0.10029
Sysco Corporation,0.09984
Discover Financial Services,0.099359
Cognizant Technology Solutions Corporation Class A,0.097872
Welltower Inc.,0.097814
Paychex Inc.,0.097469
International Flavors & Fragrances Inc.,0.096736
Marriott International Inc. Class A,0.096624
Fortinet Inc.,0.096459
Cummins Inc.,0.095748
AutoZone Inc.,0.095204
Otis Worldwide Corporation,0.095095
Monster Beverage Corporation,0.094669
Yum! Brands Inc.,0.094477
Rockwell Automation Inc.,0.093566
Mettler-Toledo International Inc.,0.093489
Kinder Morgan Inc Class P,0.092841
Cintas Corporation,0.092705
TransDigm Group Incorporated,0.09223
HP Inc.,0.092075
Marathon Petroleum Corporation,0.091973
Aflac Incorporated,0.091886
First Republic Bank,0.091571
Walgreens Boots Alliance Inc,0.090734
Hilton Worldwide Holdings Inc,0.090169
Stanley Black & Decker Inc.,0.089458
Archer-Daniels-Midland Company,0.089048
Xilinx Inc.,0.088227
Pioneer Natural Resources Company,0.087992
Kroger Co.,0.086781
Zimmer Biomet Holdings Inc.,0.086649
AvalonBay Communities Inc.,0.086427
Skyworks Solutions Inc.,0.085656
Phillips 66,0.08554
Fastenal Company,0.085287
AMETEK Inc.,0.085155
Corteva Inc,0.084514
Public Service Enterprise Group Inc,0.084388
American Water Works Company Inc.,0.084286
Equifax Inc.,0.084092
Corning Inc,0.083873
PACCAR Inc,0.083505
Williams Companies Inc.,0.083286
Verisk Analytics Inc,0.083284
McKesson Corporation,0.08314
WEC Energy Group Inc,0.082503
ANSYS Inc.,0.082409
Eversource Energy,0.082096
SVB Financial Group,0.080706
Copart Inc.,0.080657
Keysight Technologies Inc,0.079929
D.R. Horton Inc.,0.079714
Southwest Airlines Co.,0.079521
Equity Residential,0.078422
Arthur J. Gallagher & Co.,0.07778
State Street Corporation,0.077737
Willis Towers Watson Public Limited Company,0.077353
Ameriprise Financial Inc.,0.077144
West Pharmaceutical Services Inc.,0.076273
Ball Corporation,0.076229
Generac Holdings Inc.,0.075768
Zebra Technologies Corporation Class A,0.075255
CBRE Group Inc. Class A,0.075031
Nucor Corporation,0.074485
Laboratory Corporation of America Holdings,0.074468
Alexandria Real Estate Equities Inc.,0.073271
Lennar Corporation Class A,0.07327
Hershey Company,0.072983
Maxim Integrated Products Inc.,0.071513
Realty Income Corporation,0.071201
Kraft Heinz Company,0.070792
Valero Energy Corporation,0.070222
Consolidated Edison Inc.,0.070121
Weyerhaeuser Company,0.06839
Fifth Third Bancorp,0.068339
Delta Air Lines Inc.,0.068308
Synchrony Financial,0.067532
CDW Corp.,0.067478
V.F. Corporation,0.067258
Etsy Inc.,0.067209
Best Buy Co. Inc.,0.067178
ViacomCBS Inc. Class B,0.067078
Old Dominion Freight Line Inc.,0.066568
Republic Services Inc.,0.066439
Kansas City Southern,0.066306
LyondellBasell Industries NV,0.065913
Clorox Company,0.065528
Cerner Corporation,0.065207
Fortive Corp.,0.064156
Dollar Tree Inc.,0.063962
VeriSign Inc.,0.063118
International Paper Company,0.06303
Vulcan Materials Company,0.062817
Waters Corporation,0.062609
Extra Space Storage Inc.,0.062594
Northern Trust Corporation,0.062426
Enphase Energy Inc.,0.062308
ONEOK Inc.,0.062007
DTE Energy Company,0.06126
McCormick & Company Incorporated,0.061236
Garmin Ltd.,0.061229
Hartford Financial Services Group Inc.,0.060907
Gartner Inc.,0.060715
Dover Corporation,0.060598
United Rentals Inc.,0.05991
Ventas Inc.,0.059852
PPL Corporation,0.059787
Ameren Corporation,0.059626
Expedia Group Inc.,0.059584
Expeditors International of Washington Inc.,0.059555
Church & Dwight Co. Inc.,0.05953
Edison International,0.059158
Qorvo Inc.,0.058814
Martin Marietta Materials Inc.,0.058741
Xylem Inc.,0.058683
Tractor Supply Company,0.058404
Essex Property Trust Inc.,0.058213
Mid-America Apartment Communities Inc.,0.058094
Tyson Foods Inc. Class A,0.05802
CarMax Inc.,0.057997
Occidental Petroleum Corporation,0.057763
Albemarle Corporation,0.057652
FLEETCOR Technologies Inc.,0.056859
Nasdaq Inc.,0.056706
Entergy Corporation,0.056542
FirstEnergy Corp.,0.056328
Hess Corporation,0.055861
Teradyne Inc.,0.055536
STERIS Plc,0.05528
Arista Networks Inc.,0.055083
W.W. Grainger Inc.,0.05488
Trimble Inc.,0.054821
Tyler Technologies Inc.,0.054293
Teledyne Technologies Incorporated,0.054158
Cooper Companies Inc.,0.054131
Huntington Bancshares Incorporated,0.05411
Take-Two Interactive Software Inc.,0.054017
Broadridge Financial Solutions Inc.,0.053551
Western Digital Corporation,0.053494
Akamai Technologies Inc.,0.053121
Catalent Inc,0.05245
Charles River Laboratories International Inc.,0.052298
Healthpeak Properties Inc.,0.052245
Duke Realty Corporation,0.052049
Domino's Pizza Inc.,0.051538
L Brands Inc.,0.051531
Caesars Entertainment Inc,0.050741
Pool Corporation,0.05065
Ulta Beauty Inc,0.050577
Quest Diagnostics Incorporated,0.050447
Genuine Parts Company,0.050353
Hologic Inc.,0.050312
Paycom Software Inc.,0.050053
KeyCorp,0.049724
CMS Energy Corporation,0.049197
Hewlett Packard Enterprise Co.,0.049191
MarketAxess Holdings Inc.,0.048783
Darden Restaurants Inc.,0.048773
Amcor PLC,0.048761
Teleflex Incorporated,0.048643
Citizens Financial Group Inc.,0.048617
Regions Financial Corporation,0.048371
PerkinElmer Inc.,0.048183
Conagra Brands Inc.,0.047992
Ingersoll Rand Inc.,0.047847
Halliburton Company,0.047768
NetApp Inc.,0.047759
Cincinnati Financial Corporation,0.04749
Seagate Technology Holdings PLC,0.04698
M&T Bank Corporation,0.046834
IDEX Corporation,0.046827
Celanese Corporation,0.046761
Jacobs Engineering Group Inc.,0.046414
AmerisourceBergen Corporation,0.046067
NVR Inc.,0.045975
Avery Dennison Corporation,0.045821
Kellogg Company,0.045774
Cardinal Health Inc.,0.045652
Omnicom Group Inc,0.04558
Viatris Inc.,0.045568
Monolithic Power Systems Inc.,0.044862
AES Corporation,0.043715
Carnival Corporation,0.04367
Boston Properties Inc.,0.043575
UDR Inc.,0.043387
Las Vegas Sands Corp.,0.043161
Raymond James Financial Inc.,0.042249
Royal Caribbean Group,0.042238
Masco Corporation,0.04216
NortonLifeLock Inc.,0.042058
MGM Resorts International,0.041752
Principal Financial Group Inc.,0.041658
Devon Energy Corporation,0.040982
J.M. Smucker Company,0.040785
Evergy Inc.,0.040394
Bio-Rad Laboratories Inc. Class A,0.040295
Alliant Energy Corp,0.040262
Incyte Corporation,0.040218
CenterPoint Energy Inc.,0.040107
Textron Inc.,0.040025
PTC Inc.,0.039883
Eastman Chemical Company,0.039849
Baker Hughes Company Class A,0.039758
ABIOMED Inc.,0.039505
Citrix Systems Inc.,0.038897
Westinghouse Air Brake Technologies Corporation,0.038517
United Airlines Holdings Inc.,0.038433
Leidos Holdings Inc.,0.038224
Hormel Foods Corporation,0.037666
LKQ Corporation,0.037618
PulteGroup Inc.,0.037585
Advance Auto Parts Inc.,0.037398
FMC Corporation,0.037019
J.B. Hunt Transport Services Inc.,0.037009
Whirlpool Corporation,0.036997
DENTSPLY SIRONA Inc.,0.036894
Diamondback Energy Inc.,0.036735
Fortune Brands Home & Security Inc.,0.036331
Brown-Forman Corporation Class B,0.036265
Jack Henry & Associates Inc.,0.035957
Atmos Energy Corporation,0.035921
WestRock Company,0.035101
Packaging Corporation of America,0.034796
Lumen Technologies Inc.,0.034612
C.H. Robinson Worldwide Inc.,0.034582
Cboe Global Markets Inc,0.034387
Allegion PLC,0.034223
Iron Mountain Inc.,0.03421
American Airlines Group Inc.,0.033802
Interpublic Group of Companies Inc.,0.033508
Howmet Aerospace Inc.,0.033027
Quanta Services Inc.,0.032819
Loews Corporation,0.032592
Snap-on Incorporated,0.032551
Hasbro Inc.,0.032544
Fox Corporation Class A,0.032208
Universal Health Services Inc. Class B,0.031601
F5 Networks Inc.,0.031282
Pentair plc,0.031164
Wynn Resorts Limited,0.030587
Host Hotels & Resorts Inc.,0.030132
Lamb Weston Holdings Inc.,0.0301
BorgWarner Inc.,0.029973
Live Nation Entertainment Inc.,0.029789
Mohawk Industries Inc.,0.029577
Henry Schein Inc.,0.029175
Tapestry Inc.,0.029156
W. R. Berkley Corporation,0.028854
Lincoln National Corporation,0.028542
Mosaic Company,0.02757
Newell Brands Inc,0.027427
Penn National Gaming Inc.,0.027395
CF Industries Holdings Inc.,0.027302
Regency Centers Corporation,0.027129
DISH Network Corporation Class A,0.026807
NiSource Inc,0.026763
DXC Technology Co.,0.026544
