Symbol,Headquarter,Date Added,Founding Year
STZ,"Victor, New York",2005-07-01,1945
COO,"San Ramon, California",2016-09-23,1958
CPRT,"Dallas, Texas",2018-07-02,1982
GLW,"Corning, New York",,1851
CTVA,"Wilmington, Delaware",2019-06-03,2019
COST,"Issaquah, Washington",1993-10-01,1976
CCI,"Houston, Texas",2012-03-14,1994
CSX,"Jacksonville, Florida",1967-09-30,1980
CMI,"Columbus, Indiana",1965-03-31,1919
CVS,"Woonsocket, Rhode Island",1957-03-04,1996
DHI,"Arlington, Texas",2005-06-22,1978
DHR,"Washington, D.C.",,1969
DRI,"Orlando, Florida",,1938
DVA,"Denver, Colorado",2008-07-31,1979
DE,"Moline, Illinois",1957-03-04,1837
DAL,"Atlanta, Georgia",2013-09-11,1929
XRAY,"York, Pennsylvania",2008-11-14,1899
DVN,"Oklahoma City, Oklahoma",2000-08-30,1971
DXCM,"San Diego, California",2020-05-12,1999
FANG,"Midland, Texas",2018-12-03,2007
DLR,"Austin, Texas",2016-05-18,2004
DFS,"Riverwoods, Illinois",2007-07-02,1985
DISCA,"New York City, New York",2010-03-01,1985
DISCK,"New York City, New York",2014-08-07,1985
DISH,"Meridian, Colorado",2017-03-13,1980
DG,"Goodlettsville, Tennessee",2012-12-03,1939
DLTR,"Chesapeake, Virginia",2011-12-19,1986
D,"Richmond, Virginia",,1983
DPZ,"Ann Arbor, Michigan",2020-05-12,1960
DOV,"Downers Grove, Illinois",1985-10-31,1955
DOW,"Midland, Michigan",2019-04-01,2019
DTE,"Detroit, Michigan",1957-03-04,1995
DUK,"Charlotte, North Carolina",1976-06-30,1904
DRE,"Indianapolis, Indiana",2017-07-26,1972
DD,"Wilmington, Delaware",2019-04-02,2017
DXC,"Tysons Corner, Virginia",2017-04-04,2017
EMN,"Kingsport, Tennessee",1994-01-01,1920
ETN,"Dublin, Ireland",,1911
EBAY,"San Jose, California",2002-07-22,1995
ECL,"Saint Paul, Minnesota",1989-01-31,1923
EIX,"Rosemead, California",1957-03-04,1886
EW,"Irvine, California",2011-04-01,1958
EA,"Redwood City, California",2002-07-22,1982
EMR,"Ferguson, Missouri",1965-03-31,1890
ENPH,"Fremont, California",2021-01-07,2006
ETR,"New Orleans, Louisiana",1957-03-04,1913
EOG,"Houston, Texas",2000-11-02,1999
EFX,"Atlanta, Georgia",1997-06-19,1899
EQIX,"Redwood City, California",2015-03-20,1998
EQR,"Chicago, Illinois",2001-12-03,1969
ESS,"San Mateo, California",2014-04-02,1971
EL,"New York City, New York",2006-01-05,1946
ETSY,"Brooklyn, New York",2020-09-21,2005
EVRG,"Kansas City, Missouri",2018-06-05,1909
ES,"Hartford, Connecticut",,1966
RE,"Hamilton, Bermuda",2017-06-19,1973
EXC,"Chicago, Illinois",1957-03-04,2000
