Symbol,EPS
LVS,"{'2021': 0.62, '2020': 2.21, '2019': 3.5}"
LW,"{'2021': 2.16, '2020': 2.49, '2019': 3.18}"
LYB,"{'2021': 9.32, '2020': 4.24, '2019': 9.58}"
LYV,"{'2021': 2.34, '2020': 8.12, '2019': 0.02}"
MA,"{'2021': 3.91, '2020': 6.37, '2019': 7.94}"
MAA,"{'2021': 2.28, '2020': 2.19, '2019': 3.07}"
MAR,"{'2021': 1.25, '2020': 0.82, '2019': 3.8}"
MAS,"{'2021': 0.2, '2020': 4.59, '2019': 3.22}"
MCD,"{'2021': 5.0, '2020': 6.31, '2019': 7.88}"
MCHP,"{'2021': 1.29, '2020': 2.23, '2019': 1.28}"
MCK,"{'2021': 28.26, '2020': 4.95, '2019': 0.85}"
MCO,"{'2021': 6.98, '2020': 9.39, '2019': 7.42}"
MDLZ,"{'2021': 1.44, '2020': 2.47, '2019': 2.69}"
MDT,"{'2021': 2.66, '2020': 3.54, '2019': 2.62}"
MET,"{'2021': 4.13, '2020': 5.68, '2019': 6.06}"
MGM,"{'2021': 0.56, '2020': 2.02, '2019': 3.88}"
MHK,"{'2021': 8.18, '2020': 7.22, '2019': 10.3}"
MKC,"{'2021': 1.28, '2020': 2.78, '2019': 2.62}"
MKTX,"{'2021': 3.87, '2020': 7.85, '2019': 5.4}"
MLM,"{'2021': 4.65, '2020': 11.54, '2019': 9.74}"
MMC,"{'2021': 3.51, '2020': 3.94, '2019': 3.41}"
MMM,"{'2021': 5.36, '2020': 9.25, '2019': 7.81}"
MNST,"{'2021': 1.34, '2020': 2.64, '2019': 2.03}"
MO,"{'2021': 1.93, '2020': 2.4, '2019': 0.7}"
MOS,"{'2021': 1.55, '2020': 1.75, '2019': 2.78}"
MPC,"{'2021': 12.71, '2020': 15.13, '2019': 3.97}"
MPWR,"{'2021': 2.11, '2020': 3.5, '2019': 2.38}"
MRK,"{'2021': 1.86, '2020': 2.78, '2019': 3.81}"
MRNA,"{'2021': 9.3, '2020': 1.96, '2019': 1.55}"
MRO,"{'2021': 0.14, '2020': 1.83, '2019': 0.59}"
MS,"{'2021': 4.04, '2020': 6.46, '2019': 5.19}"
MSCI,"{'2021': 4.34, '2020': 7.12, '2019': 6.59}"
MSFT,"{'2021': 8.05, '2020': 5.76, '2019': 5.06}"
MSI,"{'2021': 3.1, '2020': 5.45, '2019': 4.95}"
MTB,"{'2021': 6.73, '2020': 9.94, '2019': 13.75}"
MTD,"{'2021': 14.17, '2020': 24.91, '2019': 22.47}"
MU,"{'2021': 2.75, '2020': 2.37, '2019': 5.51}"
NCLH,"{'2021': 5.97, '2020': 15.75, '2019': 4.3}"
NDAQ,"{'2021': 3.83, '2020': 5.59, '2019': 4.63}"
NEE,"{'2021': 0.98, '2020': 1.48, '2019': 1.94}"
NEM,"{'2021': 1.51, '2020': 3.51, '2019': 3.81}"
NFLX,"{'2021': 6.72, '2020': 6.08, '2019': 4.13}"
NI,"{'2021': 0.8, '2020': 0.19, '2019': 0.87}"
NKE,"{'2021': 3.56, '2020': 1.6, '2019': 2.49}"
NLOK,"{'2021': 0.92, '2020': 6.05, '2019': 0.15}"
NLSN,"{'2021': 1.8, '2020': 0.02, '2019': 1.17}"
NOC,"{'2021': 19.89, '2020': 19.03, '2019': 13.22}"
NOV,"{'2021': 0.37, '2020': 6.62, '2019': 15.96}"
NOW,"{'2021': 0.7, '2020': 0.59, '2019': 3.18}"
NRG,"{'2021': 4.07, '2020': 2.07, '2019': 16.81}"
NSC,"{'2021': 5.94, '2020': 7.84, '2019': 10.25}"
NTAP,"{'2021': 3.23, '2020': 3.52, '2019': 3.46}"
NTRS,"{'2021': 3.42, '2020': 5.46, '2019': 6.63}"
NUE,"{'2021': 8.13, '2020': 2.36, '2019': 4.14}"
NVDA,"{'2021': 1.72, '2020': 1.13, '2019': 0.72}"
NVR,"{'2021': 145.53, '2020': 230.11, '2019': 221.13}"
NWL,"{'2021': 0.67, '2020': 1.82, '2019': 0.25}"
NWS,"{'2021': 0.56, '2020': 2.16, '2019': 0.26}"
NWSA,"{'2021': 0.56, '2020': 2.16, '2019': 0.26}"
NXPI,"{'2021': 2.67, '2020': 0.18, '2019': 0.4}"
O,"{'2021': 0.59, '2020': 1.14, '2019': 1.38}"
ODFL,"{'2021': 4.01, '2020': 5.68, '2019': 5.1}"
OKE,"{'2021': 1.63, '2020': 1.42, '2019': 3.07}"
OMC,"{'2021': 2.93, '2020': 4.37, '2019': 6.06}"
ORCL,"{'2021': 4.55, '2020': 3.08, '2019': 2.4}"
ORLY,"{'2021': 15.39, '2020': 23.53, '2019': 17.88}"
OTIS,"{'2021': 2.08, '2020': 0.44, '2019': 0.6}"
OXY,"{'2021': 0.47, '2020': 17.06, '2019': 1.22}"
PAYC,"{'2021': 2.01, '2020': 2.46, '2019': 3.09}"
PAYX,"{'2021': 3.03, '2020': 3.04, '2019': 2.86}"
PBCT,"{'2021': 0.73, '2020': 0.49, '2019': 1.27}"
PCAR,"{'2021': 2.76, '2020': 3.74, '2019': 6.87}"
PEAK,"{'2021': 0.78, '2020': 0.5, '2019': 0.6}"
PEG,"{'2021': 0.93, '2020': 3.76, '2019': 3.33}"
PENN,"{'2021': 1.72, '2020': 5.0, '2019': 0.37}"
PEP,"{'2021': 2.94, '2020': 5.12, '2019': 5.2}"
PFE,"{'2021': 1.84, '2020': 1.71, '2019': 2.87}"
PFG,"{'2021': 3.19, '2020': 5.05, '2019': 4.96}"
PG,"{'2021': 5.5, '2020': 4.96, '2019': 1.43}"
PGR,"{'2021': 3.85, '2020': 9.66, '2019': 6.72}"
PH,"{'2021': 13.35, '2020': 9.26, '2019': 11.57}"
PHM,"{'2021': 3.03, '2020': 5.18, '2019': 3.66}"
PKG,"{'2021': 3.92, '2020': 4.84, '2019': 7.34}"
PKI,"{'2021': 5.56, '2020': 6.49, '2019': 2.04}"
PLD,"{'2021': 1.3, '2020': 2.01, '2019': 2.46}"
PM,"{'2021': 2.93, '2020': 5.16, '2019': 4.61}"
UAL,"{'2021': 5.6, '2020': 25.3, '2019': 11.58}"
WHR,"{'2021': 15.96, '2020': 17.07, '2019': 18.45}"
WRK,"{'2021': 1.93, '2020': 2.67, '2019': 3.33}"
XRAY,"{'2021': 0.98, '2020': 0.38, '2019': 1.17}"
SJM,"{'2021': 7.79, '2020': 6.84, '2019': 3.35}"
SNA,"{'2021': 7.26, '2020': 11.44, '2019': 12.41}"
UHS,"{'2021': 6.22, '2020': 10.99, '2019': 9.13}"
TPR,"{'2021': 2.95, '2020': 2.34, '2019': 2.21}"
WYNN,"{'2021': 3.66, '2020': 19.37, '2019': 1.15}"
WRB,"{'2021': 2.5, '2020': 2.81, '2019': 3.52}"
SEE,"{'2021': 1.42, '2020': 3.22, '2019': 1.69}"
ZION,"{'2021': 3.98, '2020': 3.02, '2019': 4.16}"
WU,"{'2021': 0.98, '2020': 1.79, '2019': 2.46}"
TAP,"{'2021': 2.17, '2020': 4.38, '2019': 1.11}"
VNO,"{'2021': 0.27, '2020': 1.83, '2019': 16.21}"
UNM,"{'2021': 1.64, '2020': 3.89, '2019': 5.24}"
UAA,"{'2021': 0.3, '2020': 1.21, '2019': 0.2}"
UA,"{'2021': 0.3, '2020': 1.21, '2019': 0.2}"
