Symbol,EPS
ABBV,"{'2021': 2.41, '2020': 2.72, '2019': 5.28}"
ABC,"{'2021': 5.31, '2020': 16.65, '2019': 4.04}"
ABMD,"{'2021': 4.94, '2020': 4.43, '2019': 3.66}"
ABT,"{'2021': 1.66, '2020': 2.5, '2019': 2.06}"
ACN,"{'2021': 6.96, '2020': 7.89, '2019': 7.36}"
ADBE,"{'2021': 4.93, '2020': 10.83, '2019': 6.0}"
ADI,"{'2021': 3.53, '2020': 3.28, '2019': 3.65}"
ADM,"{'2021': 2.48, '2020': 3.15, '2019': 2.44}"
ADP,"{'2021': 6.07, '2020': 5.7, '2019': 5.24}"
ADSK,"{'2021': 5.44, '2020': 0.96, '2019': 0.19}"
AEE,"{'2021': 1.71, '2020': 3.5, '2019': 3.35}"
AEP,"{'2021': 2.31, '2020': 4.42, '2019': 3.88}"
AES,"{'2021': 0.18, '2020': 0.07, '2019': 0.45}"
AFL,"{'2021': 3.49, '2020': 6.67, '2019': 4.43}"
AIG,"{'2021': 4.53, '2020': 6.88, '2019': 3.74}"
AIZ,"{'2021': 5.95, '2020': 6.99, '2019': 5.84}"
AJG,"{'2021': 2.83, '2020': 4.2, '2019': 3.52}"
AKAM,"{'2021': 1.88, '2020': 3.37, '2019': 2.9}"
ALB,"{'2021': 4.51, '2020': 3.52, '2019': 5.02}"
ALGN,"{'2021': 5.02, '2020': 22.41, '2019': 5.53}"
ALK,"{'2021': 2.1, '2020': 10.72, '2019': 6.19}"
ALL,"{'2021': 0.61, '2020': 17.31, '2019': 14.03}"
ALLE,"{'2021': 2.49, '2020': 3.39, '2019': 4.26}"
AMAT,"{'2021': 4.52, '2020': 3.92, '2019': 2.86}"
AMCR,"{'2021': 0.6, '2020': 0.38, '2019': 0.06}"
AMD,"{'2021': 1.03, '2020': 2.06, '2019': 0.3}"
AME,"{'2021': 1.94, '2020': 3.77, '2019': 3.75}"
AMGN,"{'2021': 3.65, '2020': 12.31, '2019': 12.88}"
AMP,"{'2021': 8.45, '2020': 12.2, '2019': 13.92}"
AMT,"{'2021': 3.1, '2020': 3.79, '2019': 4.24}"
AMZN,"{'2021': 30.92, '2020': 41.83, '2019': 23.01}"
ANET,"{'2021': 4.73, '2020': 7.99, '2019': 10.63}"
ANSS,"{'2021': 1.89, '2020': 4.97, '2019': 5.25}"
ANTM,"{'2021': 13.95, '2020': 17.98, '2019': 18.47}"
AON,"{'2021': 5.66, '2020': 8.45, '2019': 6.37}"
AOS,"{'2021': 1.33, '2020': 2.12, '2019': 2.22}"
APA,"{'2021': 12.86, '2020': 9.43, '2019': 0.05}"
